,Zone Name,VRF Terminal Name,Cooling Coil Name,Heating Coil Name
23,THERMAL ZONE: UNIT_0211_2B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0211_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 18 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 18 Heating Coil
24,THERMAL ZONE: UNIT_0212,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0212,Zone HVAC Terminal Unit Variable Refrigerant Flow 9 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 9 Heating Coil
25,THERMAL ZONE: UNIT_0213,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0213,Zone HVAC Terminal Unit Variable Refrigerant Flow 10 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 10 Heating Coil
26,THERMAL ZONE: UNIT_0214,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0214,Zone HVAC Terminal Unit Variable Refrigerant Flow 11 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 11 Heating Coil
27,THERMAL ZONE: UNIT_0215,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0215,Zone HVAC Terminal Unit Variable Refrigerant Flow 12 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 12 Heating Coil
28,THERMAL ZONE: UNIT_0216,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0216,Zone HVAC Terminal Unit Variable Refrigerant Flow 13 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 13 Heating Coil
29,THERMAL ZONE: UNIT_0217,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0217,Zone HVAC Terminal Unit Variable Refrigerant Flow 14 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 14 Heating Coil
30,THERMAL ZONE: UNIT_0218,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0218,Zone HVAC Terminal Unit Variable Refrigerant Flow 15 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 15 Heating Coil
31,THERMAL ZONE: UNIT_0219_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0219_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 19 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 19 Heating Coil
32,THERMAL ZONE: UNIT_0301_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
33,THERMAL ZONE: UNIT_0302,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0302,Zone HVAC Terminal Unit Variable Refrigerant Flow 21 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 21 Heating Coil
34,THERMAL ZONE: UNIT_0303,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0303,Zone HVAC Terminal Unit Variable Refrigerant Flow 22 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 22 Heating Coil
35,THERMAL ZONE: UNIT_0304,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0304,Zone HVAC Terminal Unit Variable Refrigerant Flow 23 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 23 Heating Coil
36,THERMAL ZONE: UNIT_0305,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0305,Zone HVAC Terminal Unit Variable Refrigerant Flow 24 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 24 Heating Coil
37,THERMAL ZONE: UNIT_0306,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0306,Zone HVAC Terminal Unit Variable Refrigerant Flow 25 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 25 Heating Coil
38,THERMAL ZONE: UNIT_0307_3B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0307_3B,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Heating Coil
39,THERMAL ZONE: UNIT_0308,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0308,Zone HVAC Terminal Unit Variable Refrigerant Flow 26 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 26 Heating Coil
40,THERMAL ZONE: UNIT_0309_2B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0309_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Heating Coil
41,THERMAL ZONE: UNIT_0310,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0310,Zone HVAC Terminal Unit Variable Refrigerant Flow 27 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 27 Heating Coil
42,THERMAL ZONE: UNIT_0311,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0311,Zone HVAC Terminal Unit Variable Refrigerant Flow 28 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 28 Heating Coil
43,THERMAL ZONE: UNIT_0312,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0312,Zone HVAC Terminal Unit Variable Refrigerant Flow 29 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 29 Heating Coil
44,THERMAL ZONE: UNIT_0313,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0313,Zone HVAC Terminal Unit Variable Refrigerant Flow 30 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 30 Heating Coil
45,THERMAL ZONE: UNIT_0314,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0314,Zone HVAC Terminal Unit Variable Refrigerant Flow 31 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 31 Heating Coil
46,THERMAL ZONE: UNIT_0315,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0315,Zone HVAC Terminal Unit Variable Refrigerant Flow 32 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 32 Heating Coil
47,THERMAL ZONE: UNIT_0316,VRF Heat Pump - vrf_zones_03-1 - Thermal Zone: Unit_0316,Zone HVAC Terminal Unit Variable Refrigerant Flow 33 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 33 Heating Coil
48,THERMAL ZONE: UNIT_0317_4B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0317_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Heating Coil
49,THERMAL ZONE: UNIT_0401_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
50,THERMAL ZONE: UNIT_0402,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0402,Zone HVAC Terminal Unit Variable Refrigerant Flow 39 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 39 Heating Coil
51,THERMAL ZONE: UNIT_0403,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0403,Zone HVAC Terminal Unit Variable Refrigerant Flow 40 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 40 Heating Coil
52,THERMAL ZONE: UNIT_0404,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0404,Zone HVAC Terminal Unit Variable Refrigerant Flow 41 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 41 Heating Coil
53,THERMAL ZONE: UNIT_0405,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0405,Zone HVAC Terminal Unit Variable Refrigerant Flow 42 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 42 Heating Coil
54,THERMAL ZONE: UNIT_0406,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0406,Zone HVAC Terminal Unit Variable Refrigerant Flow 43 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 43 Heating Coil
55,THERMAL ZONE: UNIT_0407_3B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0307_3B,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Heating Coil
56,THERMAL ZONE: UNIT_0408,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0408,Zone HVAC Terminal Unit Variable Refrigerant Flow 44 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 44 Heating Coil
57,THERMAL ZONE: UNIT_0409_2B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0309_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Heating Coil
