,0,Min Airflow [cfm],Reheat Required [Btu]
87,VAV_OR_TU1_CoilHtg,359.85048649113605,17488.73364346921
88,VAV_OR_TU2_CoilHtg,1799.25243245568,87443.66821734606
89,VAV_OR_TU3_CoilHtg,359.85048649113605,17488.73364346921
90,VAV_OR_TU4_CoilHtg,1439.4019459645442,69954.93457387685
91,VAV_1_TU7_CoilHtg,4902.962878441728,238283.99589226802
92,VAV_Patient Room_TU1_CoilHtg,674.7196621708799,32791.37558150477
93,VAV_Patient Room_TU2_CoilHtg,674.7196621708799,32791.37558150477
94,VAV_Patient Room_TU3_CoilHtg,112.45327702848,5465.229263584129
95,VAV_Patient Room_TU4_CoilHtg,112.45327702848,5465.229263584129
96,VAV_Patient Room_TU5_CoilHtg,652.2869826768973,31701.147358097212
97,VAV_Patient Room_TU6_CoilHtg,652.2869826768973,31701.147358097212
98,VAV_Patient Room_TU7_CoilHtg,112.45327702848,5465.229263584129
99,VAV_Patient Room_TU8_CoilHtg,112.45327702848,5465.229263584129
100,VAV_Patient Room_TU9_CoilHtg,674.7196621708799,32791.37558150477
101,VAV_Patient Room_TU10_CoilHtg,674.7196621708799,32791.37558150477
102,VAV_Patient Room_TU11_CoilHtg,89.96262162278401,4372.183410867303
103,VAV_Patient Room_TU12_CoilHtg,89.96262162278401,4372.183410867303
104,VAV_Patient Room_TU13_CoilHtg,652.2869826768973,31701.147358097212
105,VAV_Patient Room_TU14_CoilHtg,652.2869826768973,31701.147358097212
106,VAV_Patient Room_TU15_CoilHtg,89.96262162278401,4372.183410867303
107,VAV_Patient Room_TU16_CoilHtg,89.96262162278401,4372.183410867303
108,VAV_2_TU9_CoilHtg,1574.34587839872,76513.2096901778
109,VAV_2_TU10_CoilHtg,1574.34587839872,76513.2096901778
